"","1","2","Glycan1","Glycan2","mass","probability","Glycan"
"1",0,1445.3502,"no glycan","H3N4F1",28623.2302,0.00100034801294656,"no glycan _ H3N4F1"
"2",203,1445.3502,"HexNAc(1)","H3N4F1",28826.2302,0.00268514466633023,"HexNAc(1) _ H3N4F1"
"3",365,1445.3502,"HexNAc(1)Hex(1)","H3N4F1",28988.2302,0.00163966817159661,"HexNAc(1)Hex(1) _ H3N4F1"
"4",568,1445.3502,"HexNAc(2)Hex(1)","H3N4F1",29191.2302,0.000977783772053027,"HexNAc(2)Hex(1) _ H3N4F1"
"5",656,1445.3502,"HexNAc(1)Hex(1)NeuAc(1)","H3N4F1",29279.2302,0.012485546627754,"HexNAc(1)Hex(1)NeuAc(1) _ H3N4F1"
"6",947,1445.3502,"HexNAc(1)Hex(1)NeuAc(2)","H3N4F1",29570.2302,0.0695730760883884,"HexNAc(1)Hex(1)NeuAc(2) _ H3N4F1"
"7",1021,1445.3502,"HexNAc(2)Hex(2)NeuAc(1)","H3N4F1",29644.2302,0.00172992513517074,"HexNAc(2)Hex(2)NeuAc(1) _ H3N4F1"
"8",1238,1445.3502,"HexNAc(1)Hex(1)NeuAc(3)","H3N4F1",29861.2302,8.34876913060661e-05,"HexNAc(1)Hex(1)NeuAc(3) _ H3N4F1"
"9",1312,1445.3502,"HexNAc(2)Hex(2)NeuAc(2)","H3N4F1",29935.2302,0.00359523571570267,"HexNAc(2)Hex(2)NeuAc(2) _ H3N4F1"
"10",989,1445.3502,"HexNAc(1)Hex(1)NeuAc(2)","H3N4F1",29612.2302,0.000144411141718601,"HexNAc(1)Hex(1)NeuAc(2) _ H3N4F1"
"11",0,1502.4022,"no glycan","H3N5",28680.2822,0.000364143568152213,"no glycan _ H3N5"
"12",203,1502.4022,"HexNAc(1)","H3N5",28883.2822,0.000977437998724362,"HexNAc(1) _ H3N5"
"13",365,1502.4022,"HexNAc(1)Hex(1)","H3N5",29045.2822,0.000596866901181823,"HexNAc(1)Hex(1) _ H3N5"
"14",568,1502.4022,"HexNAc(2)Hex(1)","H3N5",29248.2822,0.00035592980345705,"HexNAc(2)Hex(1) _ H3N5"
"15",656,1502.4022,"HexNAc(1)Hex(1)NeuAc(1)","H3N5",29336.2822,0.00454494979799003,"HexNAc(1)Hex(1)NeuAc(1) _ H3N5"
"16",947,1502.4022,"HexNAc(1)Hex(1)NeuAc(2)","H3N5",29627.2822,0.0253257744767517,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5"
"17",1021,1502.4022,"HexNAc(2)Hex(2)NeuAc(1)","H3N5",29701.2822,0.000629721959962474,"HexNAc(2)Hex(2)NeuAc(1) _ H3N5"
"18",1238,1502.4022,"HexNAc(1)Hex(1)NeuAc(3)","H3N5",29918.2822,3.0390929372102e-05,"HexNAc(1)Hex(1)NeuAc(3) _ H3N5"
"19",1312,1502.4022,"HexNAc(2)Hex(2)NeuAc(2)","H3N5",29992.2822,0.00130872650809592,"HexNAc(2)Hex(2)NeuAc(2) _ H3N5"
"20",989,1502.4022,"HexNAc(1)Hex(1)NeuAc(2)","H3N5",29669.2822,5.25680940490413e-05,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5"
"21",0,1591.4932,"no glycan","H3N4F2",28769.3732,0.000202085050591634,"no glycan _ H3N4F2"
"22",203,1591.4932,"HexNAc(1)","H3N4F2",28972.3732,0.000542438820009123,"HexNAc(1) _ H3N4F2"
"23",365,1591.4932,"HexNAc(1)Hex(1)","H3N4F2",29134.3732,0.000331237150593806,"HexNAc(1)Hex(1) _ H3N4F2"
"24",568,1591.4932,"HexNAc(2)Hex(1)","H3N4F2",29337.3732,0.000197526741179793,"HexNAc(2)Hex(1) _ H3N4F2"
