,Sample name,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Name,
31969,,,,,2590770,,,,,,,,,,,,,,,,,,,,,,,,,,
31967,,,,,,,,,,,,,,,,,,,,,,,,,2422950,,,,,,
31956,,,,,,,,,,,,,,,,,,,,,,,,8271120,,,,,,,
31890,,,,2068730,,,,,,,,,,,,,,,,,,,,,,,,,,,
31889,,,,,,,,,,,,,,5428140,,,,,,,,,,3884910,,,,,,,
31858,,,5334350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31855,,,,,,,,,,,,,2119770,,,,,,,,,,,,,,,,,,
31772,,,,,,,,,,,,,,,,1658140,,,,,,,,,,,,,,,
31691,,,,,,,,2448390,,,,,,,,,,,,,,,,3393430,,,,,,,
31542,,,,,,,,,,,,,,,,,,,,,,1455360,,,,,,,,,
31540,,,,,,,,,,,,1379330,,,,,,,,,,,,,,,,,,,
31510,,,,,4161860,,,,,,,,,,,,,,,,,,,,,,,,,,
31485,,,,,,,,,,,,,,,,,,,,,,,2095350,,,,,,,,
31471,,,,,,,,,,,,,,,,,,,,,,996221,,,,,,,,,
31434,,,,,,,,,,,672156,,,,,,,,,,,,,,,,,,,,
31398,,,,,,,,,,,790442,,,,,,,,,,,,,,,,,,,,
31336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631255
31314,,,,4417180,,,,,,,,,,,,,,,,,,,,,,,,,,,
31310,,,2733110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121150
31282,,,,,,,,,,,,,,,,,,,,,,3177350,,,,,,,,,
31281,,,,,,,,,,,,6492890,,,,,,,,,,,,,,,,,,,
31279,,,,,,,,,,,,,,,,,,,,,,,3140450,,,,,,,,
31273,,,,,,,,,,,,,,,,,,,,,,,,,2261290,,,,,,
31270,,,,,,,,,,,816633,,,,,,,,,,,,,,,,,,,,
31266,,,,,,,,,,,,,,,,,,,,,1502520,,,,,,,,,,
31263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138890
31256,,,,,,,,,,,,,2029590,,,,,,,,,,,,,,,,,,
31241,,1598380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720856
31222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391140,
31213,,,,,,,,,,,,,,,,,,,,,923977,,,,,,,,,,
31206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221430,
31199,,,,,5398780,13662300,,,,,,,,,,11645600,,,,878795,,,,,,12251400,,,,,
31198,,,,,,,,,,,,,,,8876960,,,,,,,,,,11365500,,,,,,
31197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586419
31196,,,,,,,,,,,,,,,,,,,,,883335,,,,,,,,,,
31192,,,,,,,,,,,582359,,,,,,,,,,,,,,,,,,,,
31178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727241
31159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571314
31142,,,,2946540,,,,,,,,,,,,,,,,,,,,,,,,,,,
31138,,2249080,,,,,,,,,,,,,,,,,,,,1381280,,,,,,,,,
31137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753012
31136,,,,,,,,,,,,1706760,,,,,,,,,,,5388430,,,,,,,,
31134,,,4613320,,,,,,,,,,3163930,,,,,,,,,,,,,,,,,,
31133,,,,,,,,,,,,,,,,,,,,,677645,,,,,,,,,,
31112,,,,,,,,,,862990,,,,,,,,,,,,,,,,,,,,,
31109,,,,,,,,,,,,,,,,,,,,,575603,,,,,,,,,,
31103,,,,,,,,,,,,,,,,,,,,872338,,,,,,,,,,,
31101,,,,,,,,,,,,1489090,,,,,,,,,,,,,,,,,,,1008750
31100,,,,,,,,,,,833051,,,,,,,,,,,,,,,,,,,,
31099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038760,
31098,,,,,,,,,,,,,,,,2023530,,,,,,,,,,,,,,,
31096,,,,,,,,,,,,,,,,,,,,,,,,,6924490,,,,,,
31093,,,,,3566380,,,,,,,,,,,,,,,,,,,,,,,,,,
31088,,,,,,,,,,,,,,,,,,,1178770,,,,,,,,,,,,
31083,,,,,,,,,1524620,,,,,,,,,,,,,,,,,,,,,,
31069,,,3058420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31068,,,,,,,,,,,,,,,,,,,,,,,2128890,,,,,,,,
31065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719722,
31062,,,,,,,,,,,,,,,,,,,,,,,,,,5534460,,,,,
31061,,,,,,,,,,,,,,,,6696330,,,,,,,,,,,,,,,
31059,,,,,,,,,,,,,,,,,,,,,1493340,,,,,,,,,,
31057,,,,,,,,,,882327,,,,,,,,,,954558,,,,,,,,,,,
31054,,,,,,,,,,,873598,,,,,,,,,,,,,,14086900,,,,,,1774610
31053,,,,6525240,12834500,,,,,,,,,,15180100,,,,,,,,,13441500,,,,,,,
31032,,,,,3164310,,,,,,,,,,,,,,,,,,,,2737720,,,,,,
31030,,,,,,,,,,1076690,,,,,,,,,,,,,,,,,,,,,
31028,,,,,,,,,,,,,,,6434230,,,,,,,,,,,,,,,,
31026,,,,,,,,,,,,,,,,,,,,,1042420,,,,,,,,,,
31025,,,,,,,,,,,826224,,,,,,,,,,,,,,,,,,,,
31001,,,,,,,,,,,769597,,,,,,,,,,,,,,,,,,,,
31000,,,,,,,,,,,,2348910,,,,,,,,,,,,,,,,,,,
30997,,,,,,,,,,,,,,,,,,,,,800295,,,,,,,,,,
30994,,,,,,,,,,,,,2922000,,,,,,,,,,,,,,,,,,
30993,,,,,,,,,,2131410,,,,2597480,,,,,,,,,,,,,,,,,
30992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018870,
30989,,,,3088660,,,,,,,,,,,,,,,,,,,,4453110,,,,,,,
30988,,,,,,,,,,,,,,,5206290,,,,,,,,,,,,,,,,
30987,,,,,4790130,,,,,,,,,,,,,,,,,,,,,,,,,,
30986,,,,,,,,,,,,,,,,,,,,,,,,,6010800,,,,,,
30973,,,,,,,,,,,,1805450,,,,,,,,,,,,,,,,,,,
30970,,,,,,,,,,,636630,,,,,,,,,,,,,,,,,,,,
30968,,,,,,,,,,,,,,,,,,,,,890513,,,,,,,,,,
30956,,,,,,,,,,,,2004350,,,,,,,,,,,,,,,,,,,
30952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811019,
30950,,,,,,,,,,,,,,,,,,,,,,,,10869800,,,,,,,
30949,,,,,,,,,,,,,,,,,,,,,,,,,6030520,,,,,,
30948,,,,8701860,8443370,,,,,,,,,,,,,,,,,,,,,,,,,,
30947,,,,,,,,,,,,,,8124170,,,,,,,,,,,,,,,,,
30946,,,,,,,,,,,,,,,7005950,,,,,,,,,,,,,,,,
30945,,,,,,,,,,,,,,,,,,,,,1455810,,,,,,,,,,
30939,,,3280600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30917,,,,,,,,,,,,,,,,,,,,,,2172100,,,,,,,,,
30913,,,,,,,,,,,,,,,,,,,,,1779390,,,,,,,,,,
30910,,,,,,,,,,,1230500,,,,,,,,,,,,,,,,,,,,
30908,,,,,,,,,,,,,,,,,,,,,,,8556090,,,,,,,,
30907,,,,28659600,67165500,13367500,,,,2149480,,,4855740,35212600,70584700,7146820,,,,,,,,73921400,41991600,,,,,,
30906,,,,,,,,,2054700,,,,,,,,,,,,,,,,,,,,,2031790,2501190
30904,,,,,,,,,,,,,,,,,,,,,,,,,,4971290,,,,,
30903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183260,,
30888,,2200490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30886,,,4935220,5897930,,,,,,,,,,,,3545940,,,,,1240760,,,,,,,,,,
30884,,,,,,7485250,,,,,,,,9330820,,,,,,,,,4352490,,,,,,,,
30883,,,,,16925100,,,,,,,,,,20070800,,,,,,,,,12821800,16807900,,,,,,
30880,,,,,,,,,,,,,,,,,,,,,,,,,,3966460,,,,,
30868,,,,,,,,,1472710,,,,,,,,,,,,,,,,,,,,,,
30867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008420,,
30865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567360,
30858,,,,,,,,,,,,,,,,,,,,,1316080,,,,,,,,,,
30854,,2686240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591990,
30848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937070,,1645970
30847,,,,,,2090810,,,,,,,,,,,,,,,,,,,,,,,,,
30845,,,,,,,,,,,,,,11503800,,,,,,,,,,,,,,,,,
30844,,,11438200,12159800,,,,,,,,,8538780,,,,,,,,,,13040400,,,,,,,,
30843,,,,,,,,,,,,,,,,,,,,,,2575330,,9501140,,,,,,,
30842,,,,,,,,,,1015010,,,,,8473380,,,,,,,,,,,,,,,,
30839,,,,,8032450,,,,,,1176880,,,,,,,,,,,,,,8013550,,,,,,
30838,,,,,,,,,,,,2406990,,,,,,,,,,,,,,,,,,,
30823,,,,,,,,,1625810,,,,,,,,,,,,,,,,,,,,,,
30820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386760,,
30809,,,,,,,,,,,,3101900,,,,,,,,,,,,,6136330,,,,,,
30808,,4341520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771740
30807,,,,,,,,,,,,,,,,,,2404930,,,,,,,,,,,,,
30804,,,,,,,,,,,,,,,,,,,,1714750,,,,,,,,,,,
30803,,,,,,,,,,,,,,,,,,,,,,,29800700,36180100,,,,,,,
30802,,,19890500,40997500,,,,,,,,,11237700,46532000,9266590,,,,,,,,,,,,,,,,
30801,,,,,8133750,,,,,,,,,,,,,,,,,3263500,,,,,,,,,
30781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615320,,2423530
30780,,,,,,,,,,,,,,,,,,,1485040,,,3685500,,,,,,,,,
30779,,,,,,,,,,,,,,,,,,,,,2032510,,,,,,,,,,
30778,,,,,,,,,,,,2683860,,,,,,,,,,,,,,,,,,,
30775,,,,,15976200,,,,,,,,,,18548400,,,,,,,,,,,,,,,,
30773,,,,,,,,,,,,,,,,,,,,,,,,,16906800,,,,,,
30762,,,30862600,55860900,,,,,,,,,,68929700,,,,,,1006980,,,,49465100,,,,,,,
30761,,5645550,,,,,,,,2859330,,,15664600,,,,,,,,,,43759400,,,,,,,,
30760,,,,,,,,,,,,,,,,,,,,,1536510,,,,,,,,,2371850,
30759,,,,,,,,,2584500,,,3663770,,,,,,,1483940,,,5587040,,,,,,,,,2114720
30757,,,,,,,,,,,1620280,,,,,,,,,,,,,,,,,,2200670,,
30744,,,,,,,,,,,,2529920,,,,,,,,,,,,,,,,,,,
30741,,,,,,,,,,,,,,,,,,,,,,,,,,6094310,,,,,
30740,,,27776500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30739,,,,,,,,,,,,,22249500,,,,,,,,,,23949400,,,,,,,,2652770
30738,,,,16340600,,,,,,,,,,20772300,26052400,,,,,,,3288080,,29293800,19742600,,,,,2307340,
30737,,4505320,,,22494900,,,,,,,,,,,,,,,,,,,,,,,,,,
30736,,,,,,,,,,,,,,,,6116750,,,,,,,,,,,,,,,
30735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2047930,,
30734,,,,,,11473900,,,,,,,,,,,,,,,,,,,,,,,,,
30732,,,,,,,,,,,,,,,,,,,2564570,,,,,,,,,,,,
30729,,,,,,,,,,1658880,,,,,,,,,,,,,,,,,,,,,
30714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379610,,
30713,,,,,,,,,4180230,,,,,,,,,,,,,,,,,,,,,,
30711,,,,,,,,,,,,,,,,,,,3485340,,,,,,,3496860,,,,,
30710,,,,,,,,,,,3633400,,,,,,,,,,,,,,,,,,,,
30708,,,,,,,,,,,,,,,,,,,,,3462900,,,,,,,,,,
30700,,,,,,,,2431350,,,,,,,,,,,,,,,,,,,,,,,1969910
30699,,,66395500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30698,,,,,,,,,,,,,59790600,33011500,,,,,,,,10236800,73188700,,,,,,,,
30697,,10263400,,15271800,,,,,,,,7052010,,,,,,,,,,,,,,,,,,,
30694,,,,,,,,,,,,,,,,,2793280,,,,,,,,,,,,,,
30693,,,,,,,,,2331720,,,,,,,,,,,,,,,,,,,,,,
30692,,,,,,,,,,2522030,,,,,,,,,,,,,,20034400,,,,,,,
30690,,,,,,,,,,,,,,,,,,,,2677400,,,,,,,,,1875670,1683550,
30689,,,,,,12017500,,,,,,,,,27119900,8214050,,,,,,,,,,,,,,,
30688,,,,,27346300,,,,,,,,,,,,,,,,,,,,28274800,7926510,,,,,
30686,,,,,,,,,,,,,,,,,,,,,,,,,,,,2884530,,,
30672,,,,,,,,,,,,,,,,,,,,,,,,26692100,,,,,,,
30671,,,,21941400,,,,,,,,,,,,,,,,,,,,,,,,,,,
30669,,,,,12101600,,,,,,,,,,,,,,,,,,,,,,,,,,
30668,,,,,,,,,,,,,,,,,,1745540,,,,,,,,,,,,,
30667,,,,,,5826440,,,2542360,,,,,,,,,,,,,,,,,4952330,,,,,
30666,,,,,,,,,,,,,,,,,,,,,,,,,10964800,,,,,2281920,
30665,,,,,,,,5192090,,,,,,,,,,,,,1983480,,,,,,,,,,
30663,,,,,,,,,,,,,,,,,,,,3032950,,,,,,,,2448240,,,
30660,,,,,,,,,,,,,,,,,,,1244890,,,,,,,,,,2127610,,
30659,,,,,,,,,,,,,,30333300,,,,,,,,,,,,,,,,,
30658,,,,,,,,,,,1022080,,,,,,,,,,,,,,,,,,,,
30657,,,67440000,,,,,,,,,,68498700,,,,,,,,,,75829900,,,,,,,,
30654,,21493200,,,,,,,,,,18151400,,,,,,,,,,,,,,,,,,,1894500
