,Sample name,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Name,
31756,,,,,,,,,,,,27995.5,,,,,,,,,,,,,,,,,,,,
31647,,,,,,,100919,100919,,,,,,,,,,,,,,,,,,,,,,,,
31641,,,,,,,,,,,,,,,,,,,,,,,,,,,103368,,,,,
31479,,,,,,,,,,,,,29366.4,,,,,,,,,,,,,,,,,,,
31475,,,,,,,,,,,,,,,,,,,,,21654.4,,,,,,,,,,,
31440,,,,,,,,,,,,,,,,,,,,,,,34841.7,,,,,,,,,
31420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44340
31418,,,,,,,,,,,,,,,,,,,,,,,38944.1,,,,,,,,,
31399,,,,,,,,,,,,,,,,,,,,,,,,,,,133114,,,,,
31381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47005.7,
31380,,,,,,,,,,,,,,,,,,,,,,74487.9,29492.5,,,,,,,,,
31379,,,,,,,,,,,,44528.4,,,,,,,,,,,,,,,,,,,,62499
31378,,,,,,,,,,,76962.2,,,,,,,,,,,,,,,,,,,,,
31374,,,,,,,,,,,,,41454.5,,,,,,,,,,,,,,,,,,,
31368,,,,,,,,,,,,,,193274,,,,,,,,,,,,,,,,,,
31357,,,,,,,,,,,,,,,,,,,,,,,,,,,,67307.5,,,,
31344,,,187725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31316,,,,,,,,,,,,,,,,,,,,,29592,,,,,,,,,,,
31310,,,,,,,,,,,,,,,,,,,,68175.8,,,,,,,,,,,,
31308,,,,,,,,,,,,,,,,,,,,,,,44798.1,,,,,,,,,
31282,,,,,,,,,,,86035.6,,,,,,,,,74852.4,,,,,,,,,,,,122882
31281,,,,,,,,,,,,,,,,,,,,,84723.1,,70881.6,,,,,,,,,
31280,,,,,,,,,,,,,,,,,,,,,,82272.4,,,,,,,,123142,70835.4,
31276,,,,,,,,,,,,59801.3,,,,,,,,,,,,,,,,,,,,
31252,,,,,,,,,,,,28482.7,,,,,,,,,,,,,,,,,,,,
