"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
27130,0,0,"","C2",4142706.66666667,NA,NA,27130,NA,NA,8,NA,NA
27242,0,0,"","C2",4960803.33333333,NA,NA,27242,NA,NA,8,NA,NA
27442,0,0,"","C2",3307156.66666667,NA,NA,27442,NA,NA,8,NA,NA
27457,0,0,"","HILIC",NA,NA,66871.2,NA,NA,27457,NA,NA,5
27475,0,0,"","HILIC",NA,NA,45992.2666666667,NA,NA,27475,NA,NA,5
27526,0,0,"","C2 & CE",6006906.66666667,27801.9,NA,27526,27526,NA,8,12,NA
27552,0,0,"","C2",2406360,NA,NA,27552,NA,NA,8,NA,NA
27569,0,0,"","CE",NA,362515,NA,NA,27569,NA,NA,1,NA
27586,0,0,"","C2",1518454.66666667,NA,NA,27586,NA,NA,9,NA,NA
27592,0,0,"","C2",2182616.66666667,NA,NA,27592,NA,NA,8,NA,NA
27599,0,0,"","CE",NA,69541.2333333333,NA,NA,27599,NA,NA,6,NA
27610,0,0,"","C2",3279733.33333333,NA,NA,27610,NA,NA,8,NA,NA
27619,0,0,"","HILIC",NA,NA,40133.5,NA,NA,27619,NA,NA,8
27645,0,0,"","C2",2786543.33333333,NA,NA,27645,NA,NA,8,NA,NA
27659,0,0,"","CE",NA,291178,NA,NA,27659,NA,NA,3,NA
27678,0,0,"","CE",NA,329412.666666667,NA,NA,27678,NA,NA,1,NA
27712,0,0,"","C2",14009033.3333333,NA,NA,27712,NA,NA,6,NA,NA
27763,0,0,"","C2",2315726.33333333,NA,NA,27763,NA,NA,9,NA,NA
27783,0,0,"","CE",NA,405853.666666667,NA,NA,27783,NA,NA,3,NA
27793,0,0,"","C2",2537343.33333333,NA,NA,27793,NA,NA,8,NA,NA
27828,0,0,"","C2",15365933.3333333,NA,NA,27828,NA,NA,8,NA,NA
27890,0,0,"","CE",NA,344141.666666667,NA,NA,27890,NA,NA,3,NA
27899,0,0,"","C2",3447303.33333333,NA,NA,27899,NA,NA,8,NA,NA
27916,0,0,"","C2",8302716.66666667,NA,NA,27916,NA,NA,6,NA,NA
27924,0,0,"","CE",NA,41972.0666666667,NA,NA,27924,NA,NA,10,NA
27941,0,0,"","C2",24870033.3333333,NA,NA,27941,NA,NA,8,NA,NA
27973,0,0,"","CE",NA,85540.0333333333,NA,NA,27973,NA,NA,4,NA
27977,0,0,"","HILIC",NA,NA,60083.3666666667,NA,NA,27977,NA,NA,7
27981,0,0,"","HILIC",NA,NA,54050.4,NA,NA,27981,NA,NA,8
27985,0,0,"","CE",NA,351937.666666667,NA,NA,27985,NA,NA,3,NA
28021,0,0,"","C2",6649616.66666667,NA,NA,28021,NA,NA,6,NA,NA
28043,0,0,"","C2",5565003.33333333,NA,NA,28043,NA,NA,9,NA,NA
28054,0,0,"","HILIC",NA,NA,66314.8,NA,NA,28054,NA,NA,5
28059,0,0,"","CE",NA,93273.1,NA,NA,28059,NA,NA,10,NA
28063,0,0,"","C2",15631800,NA,NA,28063,NA,NA,6,NA,NA
28073,0,0,"","HILIC",NA,NA,54719.5,NA,NA,28073,NA,NA,7
28079,0,0,"","CE",NA,181853.466666667,NA,NA,28079,NA,NA,3,NA
28082,0,0,"","CE",NA,209074.3,NA,NA,28082,NA,NA,6,NA
28148,0,0,"","C2",3031304.66666667,NA,NA,28148,NA,NA,6,NA,NA
28166,0,0,"","C2",8996143.33333333,NA,NA,28166,NA,NA,7,NA,NA
28221,0,0,"","CE",NA,44643.6333333333,NA,NA,28221,NA,NA,9,NA
28224,0,0,"","C2",6219896.66666667,NA,NA,28224,NA,NA,6,NA,NA
28265,0,0,"","C2",20235600,NA,NA,28265,NA,NA,6,NA,NA
28284,0,0,"","C2",9225320,NA,NA,28284,NA,NA,6,NA,NA
28308,0,0,"","C2",8058886.66666667,NA,NA,28308,NA,NA,6,NA,NA
28327,0,0,"","C2",3632520,NA,NA,28327,NA,NA,8,NA,NA
28346,0,0,"","C2",15913133.3333333,NA,NA,28346,NA,NA,7,NA,NA
28370,0,0,"","C2",15640700,NA,NA,28370,NA,NA,6,NA,NA
28390,0,0,"","C2",15198600,NA,NA,28390,NA,NA,7,NA,NA
28411,0,0,"","C2 & CE",84585066.6666667,109676.7,NA,28411,28411,NA,6,11,NA
28438,0,0,"","C2",12353790,NA,NA,28438,NA,NA,7,NA,NA
28455,0,0,"","C2",57467133.3333333,NA,NA,28455,NA,NA,6,NA,NA
28474,0,0,"","C2",3405562,NA,NA,28474,NA,NA,9,NA,NA
28514,0,0,"","C2",24873533.3333333,NA,NA,28514,NA,NA,6,NA,NA
28541,0,0,"","C2",8906213.33333333,NA,NA,28541,NA,NA,8,NA,NA
28557,0,0,"","C2",18439300,NA,NA,28557,NA,NA,7,NA,NA
28606,0,0,"","C2",9986083.33333333,NA,NA,28606,NA,NA,6,NA,NA
28619,0,0,"","C2",8979813.33333333,NA,NA,28619,NA,NA,7,NA,NA
28645,0,0,"","C2",2606510,NA,NA,28645,NA,NA,9,NA,NA
28654,0,0,"","C2",6258946.66666667,NA,NA,28654,NA,NA,6,NA,NA
28662,0,0,"","C2",7866970,NA,NA,28662,NA,NA,8,NA,NA
28699,0,0,"","C2",8691606.66666667,NA,NA,28699,NA,NA,6,NA,NA
28715,0,0,"","C2",8322696.66666667,NA,NA,28715,NA,NA,6,NA,NA
28733,0,0,"","C2",9576530,NA,NA,28733,NA,NA,6,NA,NA
28759,0,0,"","C2",11057266.6666667,NA,NA,28759,NA,NA,6,NA,NA
28779,0,0,"","C2",5650273.33333333,NA,NA,28779,NA,NA,7,NA,NA
28807,0,0,"","C2",5807861,NA,NA,28807,NA,NA,6,NA,NA
28826,28826,0.00268514466633023,"HexNAc(1) _ H3N4F1","HILIC",NA,NA,276819,NA,NA,28826,NA,NA,1
28846,0,0,"","C2",37618800,NA,NA,28846,NA,NA,6,NA,NA
28862,0,0,"","C2",6095340,NA,NA,28862,NA,NA,7,NA,NA
28881,28883,0.000977437998724362,"HexNAc(1) _ H3N5","C2",7806190,NA,NA,28881,NA,NA,6,NA,NA
