"","1","2","Glycan1","Glycan2","mass","probability","Glycan"
"1",656,2890.7004,"Hex(1)HexNAc(1)NeuAc(1)","H6N8F2",30709.9404,0.00140952809363913,"Hex(1)HexNAc(1)NeuAc(1) _ H6N8F2"
"2",947.323,2890.7004,"Hex(1)HexNAc(1)NeuAc(2)","H6N8F2",31001.2634,0.0098894555862028,"Hex(1)HexNAc(1)NeuAc(2) _ H6N8F2"
"3",1021.74,2890.7004,"Hex(2)HexNAc(2)NeuAc(1)","H6N8F2",31075.6804,0.00150801752221869,"Hex(2)HexNAc(2)NeuAc(1) _ H6N8F2"
"4",1063.363,2890.7004,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H6N8F2",31117.3034,0.000706906365421842,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H6N8F2"
"5",1143.333,2890.7004,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H6N8F2",31197.2734,0.000629898175803783,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H6N8F2"
"6",1167.423,2890.7004,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H6N8F2",31221.3634,0.000901791609410347,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H6N8F2"
"7",1209.433,2890.7004,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H6N8F2",31263.3734,0.000361192365106882,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H6N8F2"
"8",1312.453,2890.7004,"Hex(2)HexNAc(2)NeuAc(2)","H6N8F2",31366.3934,0.00431466909319097,"Hex(2)HexNAc(2)NeuAc(2) _ H6N8F2"
"9",656,2947.7524,"Hex(1)HexNAc(1)NeuAc(1)","H6N9F1",30766.9924,0.000373376868031772,"Hex(1)HexNAc(1)NeuAc(1) _ H6N9F1"
"10",947.323,2947.7524,"Hex(1)HexNAc(1)NeuAc(2)","H6N9F1",31058.3154,0.00261966680194532,"Hex(1)HexNAc(1)NeuAc(2) _ H6N9F1"
"11",1021.74,2947.7524,"Hex(2)HexNAc(2)NeuAc(1)","H6N9F1",31132.7324,0.000399466219881676,"Hex(2)HexNAc(2)NeuAc(1) _ H6N9F1"
"12",1063.363,2947.7524,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H6N9F1",31174.3554,0.000187255923386019,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H6N9F1"
"13",1143.333,2947.7524,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H6N9F1",31254.3254,0.000166856843167509,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H6N9F1"
"14",1167.423,2947.7524,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H6N9F1",31278.4154,0.000238880039538375,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H6N9F1"
"15",1209.433,2947.7524,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H6N9F1",31320.4254,9.56780319946734e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H6N9F1"
"16",1312.453,2947.7524,"Hex(2)HexNAc(2)NeuAc(2)","H6N9F1",31423.4454,0.00114293403578062,"Hex(2)HexNAc(2)NeuAc(2) _ H6N9F1"
"17",656,3052.8428,"Hex(1)HexNAc(1)NeuAc(1)","H7N8F2",30872.0828,0.00083023694453371,"Hex(1)HexNAc(1)NeuAc(1) _ H7N8F2"
"18",947.323,3052.8428,"Hex(1)HexNAc(1)NeuAc(2)","H7N8F2",31163.4058,0.00582506402394057,"Hex(1)HexNAc(1)NeuAc(2) _ H7N8F2"
"19",1021.74,3052.8428,"Hex(2)HexNAc(2)NeuAc(1)","H7N8F2",31237.8228,0.000888248957647726,"Hex(2)HexNAc(2)NeuAc(1) _ H7N8F2"
"20",1063.363,3052.8428,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H7N8F2",31279.4458,0.000416380335764715,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H7N8F2"
"21",1143.333,3052.8428,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H7N8F2",31359.4158,0.000371021151835645,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H7N8F2"
"22",1167.423,3052.8428,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H7N8F2",31383.5058,0.000531171186854447,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H7N8F2"
"23",1209.433,3052.8428,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H7N8F2",31425.5158,0.000212748683015619,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H7N8F2"
"24",1312.453,3052.8428,"Hex(2)HexNAc(2)NeuAc(2)","H7N8F2",31528.5358,0.00254141630860039,"Hex(2)HexNAc(2)NeuAc(2) _ H7N8F2"
"25",656,3093.8954,"Hex(1)HexNAc(1)NeuAc(1)","H6N9F2",30913.1354,0.00176167048979595,"Hex(1)HexNAc(1)NeuAc(1) _ H6N9F2"
"26",947.323,3093.8954,"Hex(1)HexNAc(1)NeuAc(2)","H6N9F2",31204.4584,0.0123601382228438,"Hex(1)HexNAc(1)NeuAc(2) _ H6N9F2"
"27",1021.74,3093.8954,"Hex(2)HexNAc(2)NeuAc(1)","H6N9F2",31278.8754,0.0018847655317951,"Hex(2)HexNAc(2)NeuAc(1) _ H6N9F2"
"28",1063.363,3093.8954,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H6N9F2",31320.4984,0.000883512778945296,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H6N9F2"
"29",1143.333,3093.8954,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H6N9F2",31400.4684,0.000787265633723458,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H6N9F2"
"30",1167.423,3093.8954,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H6N9F2",31424.5584,0.00112708620240565,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H6N9F2"
"31",1209.433,3093.8954,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H6N9F2",31466.5684,0.000451429051765538,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H6N9F2"
"32",1312.453,3093.8954,"Hex(2)HexNAc(2)NeuAc(2)","H6N9F2",31569.5884,0.0053926028498551,"Hex(2)HexNAc(2)NeuAc(2) _ H6N9F2"
