,Sample name,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Name,
35980,,,,,,,,,,,,,,,,,,,,,,47016.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189125,,,,,,,,,,,,,,,,,,,,,,,,,
35973,,,,,,,,,,,,,,,,,,,,72907.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104537,,,,,
35968,,,,,,,,,449194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100463,,,,,,,,,,,,,,,,,,,,,
35943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163886,,,,,,
35908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463100,,,,,,,,,,,
35876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111428,,,,,,,,,,,,,,,,,,,,,,,
35869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664124,,,,,,,,,,,,,,
35866,,,,,,,,,,,,,,,,,,,,,,,,,,,583410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35858,,,,,,,,,373116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96890.4,,,
35836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141511,,,,,,,,,,,,,,,,,,,,,,,
35824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121135,,,,,,
35822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563285,,,,,,,,,,,,,
35819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35818,,,,,,,,315645,,,,,,,,128150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35817,,,,,,,,,,,,,,,,,,,,,,,,,,,,632105,,,,,,,,,,,,,,,,,,,,723851,,,,,,,,,,,,,,,
35816,,,,,,,,,,,,,,,,,,,,,,,,409215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86922.2,,
35795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449397,,,,,,,,,,,
35793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445613,,,,,,,,,,,,,,
35790,,,,,,,,,,,,,202320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108056,,,
35782,,,,,,,,,,,,,,,,,,,,,,58734.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35778,,,,,,,,,,,,,,,,144795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619261,,,,,,,,,,,,,,,,
35763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710230,,,,,,,,,,,,,,,
35744,,,,,,,,,,,,,,,,,,,,,,,154300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634205,,,,,,,,,,,125239,,,,
35722,,,,,,,,,,,,,,,,,,,97783.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108984,,,
35693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134134,,,
35678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814226,,,,,,,,,,,,,,,
35661,,,,,,,,,,,,,,,,,,,,,,,,,,,,667855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35637,,,,,,,,,,,,,,,,,,,,,,,,,,,,604956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35630,,,,,,,480697,,,,,,,,,,,,,,,,,,,,,,,,,,,,168667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
