"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
26578,0,0,"","HILIC",NA,NA,344079.666666667,NA,NA,26578,NA,NA,19
26666,0,0,"","HILIC",NA,NA,260076.333333333,NA,NA,26666,NA,NA,12
26703,0,0,"","HILIC",NA,NA,305600.666666667,NA,NA,26703,NA,NA,20
27085,0,0,"","C2",2972633.33333333,NA,NA,27085,NA,NA,16,NA,NA
27191,0,0,"","C2",2369050,NA,NA,27191,NA,NA,7,NA,NA
27370,0,0,"","C2",1900169.33333333,NA,NA,27370,NA,NA,10,NA,NA
27401,0,0,"","CE",NA,626749.333333333,NA,NA,27401,NA,NA,6,NA
27567,0,0,"","C2",4135213.66666667,NA,NA,27567,NA,NA,3,NA,NA
27592,0,0,"","C2",1515511.66666667,NA,NA,27592,NA,NA,10,NA,NA
27625,0,0,"","CE",NA,248644.9,NA,NA,27625,NA,NA,15,NA
27665,0,0,"","CE",NA,239034.333333333,NA,NA,27665,NA,NA,16,NA
27711,0,0,"","CE",NA,218389.333333333,NA,NA,27711,NA,NA,8,NA
27715,0,0,"","CE",NA,218108.666666667,NA,NA,27715,NA,NA,9,NA
27785,0,0,"","CE",NA,246864,NA,NA,27785,NA,NA,14,NA
27922,0,0,"","CE",NA,258969.666666667,NA,NA,27922,NA,NA,9,NA
27948,0,0,"","CE",NA,170201.333333333,NA,NA,27948,NA,NA,12,NA
27951,0,0,"","CE",NA,247255,NA,NA,27951,NA,NA,13,NA
27972,0,0,"","CE",NA,384018.1,NA,NA,27972,NA,NA,7,NA
28020,0,0,"","HILIC",NA,NA,465685.333333333,NA,NA,28020,NA,NA,11
28042,0,0,"","CE",NA,311518.333333333,NA,NA,28042,NA,NA,12,NA
28059,0,0,"","CE",NA,475995.333333333,NA,NA,28059,NA,NA,11,NA
28079,0,0,"","CE",NA,267557,NA,NA,28079,NA,NA,10,NA
28111,0,0,"","C2",1157946.33333333,NA,NA,28111,NA,NA,1,NA,NA
28209,0,0,"","C2",1115791,NA,NA,28209,NA,NA,1,NA,NA
28220,0,0,"","CE",NA,170017,NA,NA,28220,NA,NA,12,NA
28302,0,0,"","CE",NA,308512.333333333,NA,NA,28302,NA,NA,14,NA
28375,0,0,"","CE",NA,203230,NA,NA,28375,NA,NA,2,NA
28420,0,0,"","C2",3417874.33333333,NA,NA,28420,NA,NA,7,NA,NA
28494,0,0,"","CE",NA,214370.333333333,NA,NA,28494,NA,NA,18,NA
28676,0,0,"","CE",NA,140841.333333333,NA,NA,28676,NA,NA,15,NA
28827,0,0,"","HILIC",NA,NA,7221276.66666667,NA,NA,28827,NA,NA,1
28867,0,0,"","HILIC",NA,NA,2065296.66666667,NA,NA,28867,NA,NA,1
28971,0,0,"","HILIC",NA,NA,6463766.66666667,NA,NA,28971,NA,NA,1
29034,0,0,"","C2",4223640,NA,NA,29034,NA,NA,7,NA,NA
29098,0,0,"","C2",2692206.33333333,NA,NA,29098,NA,NA,2,NA,NA
29135,0,0,"","HILIC",NA,NA,2780936.66666667,NA,NA,29135,NA,NA,1
29235,0,0,"","HILIC",NA,NA,929530.666666667,NA,NA,29235,NA,NA,1
29273,0,0,"","HILIC",NA,NA,21746466.6666667,NA,NA,29273,NA,NA,1
29336,0,0,"","CE",NA,426730,NA,NA,29336,NA,NA,12,NA
29368,0,0,"","C2",1431085.66666667,NA,NA,29368,NA,NA,15,NA,NA
29438,0,0,"","HILIC",NA,NA,2799410,NA,NA,29438,NA,NA,2
29501,0,0,"","CE",NA,172084.366666667,NA,NA,29501,NA,NA,1,NA
29555,29555,0.00162047095330775,"Hex(1)HexNAc(1)NeuAc(2) _ H3N4F1","HILIC",NA,NA,5421600,NA,NA,29555,NA,NA,2
29583,0,0,"","HILIC",NA,NA,9068956.66666667,NA,NA,29583,NA,NA,2
29623,0,0,"","HILIC",NA,NA,7404166.66666667,NA,NA,29623,NA,NA,2
29643,0,0,"","CE",NA,598672.666666667,NA,NA,29643,NA,NA,1,NA
29662,0,0,"","CE",NA,554696,NA,NA,29662,NA,NA,16,NA
29727,29729,0.000115832587738461,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H3N5","HILIC",NA,NA,5739760,NA,NA,29727,NA,NA,2
29826,0,0,"","HILIC",NA,NA,1613860,NA,NA,29826,NA,NA,4
29838,0,0,"","HILIC",NA,NA,815664.333333333,NA,NA,29838,NA,NA,3
29906,29905,0.00162047095330775,"Hex(1)HexNAc(1)NeuAc(2) _ H3N5F2","HILIC",NA,NA,5161543.33333333,NA,NA,29906,NA,NA,3
29924,0,0,"","CE",NA,373932.666666667,NA,NA,29924,NA,NA,18,NA
29964,29963,0.000230963101426948,"Hex(1)HexNAc(1)NeuAc(1) _ H3N6F3","HILIC",NA,NA,694648.666666667,NA,NA,29964,NA,NA,3
30029,0,0,"","HILIC",NA,NA,2789133.33333333,NA,NA,30029,NA,NA,5
30054,0,0,"","HILIC",NA,NA,2076133.33333333,NA,NA,30054,NA,NA,4
30115,30117,0.000103214144452566,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F1","CE & HILIC",NA,196098.933333333,5134936.66666667,NA,30114,30116,NA,8,4
30185,30183,0.000115832587738461,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N5F2","CE",NA,377885.666666667,NA,NA,30185,NA,NA,4,NA
30190,0,0,"","HILIC",NA,NA,1814936.66666667,NA,NA,30190,NA,NA,4
30216,0,0,"","HILIC",NA,NA,5212333.33333333,NA,NA,30216,NA,NA,5
30231,30229,0.00162047095330775,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2","C2",1759504,NA,NA,30231,NA,NA,12,NA,NA
30256,30254,0.00162047095330775,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3","HILIC",NA,NA,21646700,NA,NA,30256,NA,NA,4
30293,0,0,"","HILIC",NA,NA,421260,NA,NA,30293,NA,NA,16
30314,0,0,"","HILIC",NA,NA,2709176.66666667,NA,NA,30314,NA,NA,4
30319,0,0,"","HILIC",NA,NA,4014673.33333333,NA,NA,30319,NA,NA,5
30334,0,0,"","CE",NA,445812.333333333,NA,NA,30334,NA,NA,13,NA
30354,0,0,"","CE",NA,501703.666666667,NA,NA,30354,NA,NA,7,NA
30399,0,0,"","C2",4586560.33333333,NA,NA,30399,NA,NA,9,NA,NA
30419,0,0,"","HILIC",NA,NA,4539596.66666667,NA,NA,30419,NA,NA,5
