"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"1",656,1915.778,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N4F2","H3N4F1","no glycan",30806.0382,1.5934269275948e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N4F2 _ H3N4F1 _ no glycan"
"2",947.323,1915.778,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N4F2","H3N4F1","no glycan",31097.3612,0.000100421354716445,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2 _ H3N4F1 _ no glycan"
"3",1021.74,1915.778,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N4F2","H3N4F1","no glycan",31171.7782,5.32878908200557e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N4F2 _ H3N4F1 _ no glycan"
"4",1063.363,1915.778,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N4F2","H3N4F1","no glycan",31213.4012,3.99189709799382e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N4F2 _ H3N4F1 _ no glycan"
"5",1143.333,1915.778,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N4F2","H3N4F1","no glycan",31293.3712,1.81167150807528e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F2 _ H3N4F1 _ no glycan"
"6",1167.423,1915.778,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N4F2","H3N4F1","no glycan",31317.4612,3.70787010916403e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F2 _ H3N4F1 _ no glycan"
"7",1209.433,1915.778,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N4F2","H3N4F1","no glycan",31359.4712,6.17659331387873e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N4F2 _ H3N4F1 _ no glycan"
"8",1312.453,1915.778,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N4F2","H3N4F1","no glycan",31462.4912,1.06010612193603e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F2 _ H3N4F1 _ no glycan"
"9",656,1956.8306,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N5F2","H3N4F1","no glycan",30847.0908,4.0236530838402e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H4N5F2 _ H3N4F1 _ no glycan"
"10",947.323,1956.8306,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N5F2","H3N4F1","no glycan",31138.4138,0.000253579681999062,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2 _ H3N4F1 _ no glycan"
