,Sample name,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
35970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697809,,,,,,,,,,,,,,,,,,,,,,
35960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854675,
35957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293870,,,,,,,,,,,,,,,,,,,,,,,
35956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221220,,,,,
35943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457100,,,,,,,
35918,,,,,1299050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35917,,,,,,,,,,,,,,,,769309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135330,,,,,,
35887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041910,,,,,,,,,
35882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576510,,,,,,,,,,,870262
35881,,,,,,,,,,,,,,,,,,,729219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939803,,,,,,,,,,,,,,,,,,,,,,
35858,,,,,,,,,,,,,,,,,,,,,,1765390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35848,,,,,,,,,,,,,,872236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740372,,,,,,,,,,,,,,,,,,,,
35836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983214,,
35831,,,,,,,,,,,1532560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831952,
35819,,,,,,,,1316130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35817,,,,,,,2062790,,,,,,,,,,,,,,,,,,,,,,,1804160,,,,,,,,,,,,,,,,,,,,,,,,,
35816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898900,,,,,,,
35815,,,,,,,,,,,,,,,997419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35812,,,,,,,,,,,,,,941700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35785,,,,,,,,,,,1576610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35772,,,,,,,,,,,,,1441310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35771,,,,,,,,,,,,,,,,812480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
