,Sample name,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
35968,,,,,,,,,,,,,113215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35963,,,,,,,,,,,,,,,,,,,,,,,,,,195070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164379,,,,,,,,,
35934,,,,,,,,,,,,,,,,,,,66092.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103527,,,,
35932,,,,,,,,,,,,,,,111805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35923,,,,,,,,,,,,,,,,,,83964.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35917,,,,,,99104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35908,,,,,,,,,208995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35900,,,,,,,,,,,,,,,,,,,73817.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178090,,,,,,,,
35884,,,,,,,,,139495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35863,,,,,,100574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35858,,,,,,,,,,,,,129520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77136.8,,,,,,,,,,,,,,,,,,,,,,
35855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51071.6,,
35853,,,,,,,,,216321,,,,,,,76525.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35839,,,,,,135325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94379.1,,,,,,,,,,,,,,,,,,,
35805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103214,,,,,,
35791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98471.7,,,
35788,,,,,,,,,,,,,,,,,,,,,,85104.9,,,,,,,145959,,,,,,,,,,,,,,,,,,,,,,,,,,
35787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177257,,,,,,,,,,,,,,,,,,,,,,,,,
35781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170067,,,,,,,,,,,,,,,,,,,,,,,,
35778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102476,,,,
35765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127114,,,,,,,,,,,,,,,,,,,,,,,
35762,,,,,,,,,,,,,,,,,,,,,,,125394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35757,,,,,119939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
