"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
27140,0,0,"","CE",NA,107676.766666667,NA,NA,27140,NA,NA,11,NA
27183,0,0,"","C2",1169559.33333333,NA,NA,27183,NA,NA,9,NA,NA
27246,0,0,"","CE",NA,80332.0666666667,NA,NA,27246,NA,NA,13,NA
27324,0,0,"","CE",NA,137516.666666667,NA,NA,27324,NA,NA,14,NA
27382,0,0,"","C2",1409783.33333333,NA,NA,27382,NA,NA,6,NA,NA
27406,0,0,"","C2",827255.666666667,NA,NA,27406,NA,NA,2,NA,NA
27418,0,0,"","CE",NA,103673,NA,NA,27418,NA,NA,3,NA
27455,0,0,"","C2",1108352,NA,NA,27455,NA,NA,18,NA,NA
27566,0,0,"","C2",1800974,NA,NA,27566,NA,NA,5,NA,NA
27652,0,0,"","C2",1571407.33333333,NA,NA,27652,NA,NA,5,NA,NA
27773,0,0,"","C2",1797147,NA,NA,27773,NA,NA,9,NA,NA
27879,0,0,"","CE",NA,79043.1,NA,NA,27879,NA,NA,19,NA
28103,0,0,"","CE",NA,59285,NA,NA,28103,NA,NA,19,NA
28110,0,0,"","CE",NA,174531.666666667,NA,NA,28110,NA,NA,6,NA
28313,0,0,"","CE",NA,97993.9666666667,NA,NA,28313,NA,NA,20,NA
28382,0,0,"","CE",NA,79594.8333333333,NA,NA,28382,NA,NA,20,NA
28408,0,0,"","HILIC",NA,NA,195583.666666667,NA,NA,28408,NA,NA,5
28415,0,0,"","C2",1062222.66666667,NA,NA,28415,NA,NA,17,NA,NA
28468,0,0,"","CE",NA,117550.9,NA,NA,28468,NA,NA,15,NA
28506,0,0,"","HILIC",NA,NA,172615,NA,NA,28506,NA,NA,18
28553,0,0,"","CE",NA,51049.2466666667,NA,NA,28553,NA,NA,1,NA
28570,0,0,"","C2",1658844,NA,NA,28570,NA,NA,2,NA,NA
28661,0,0,"","C2",2017570,NA,NA,28661,NA,NA,11,NA,NA
28691,0,0,"","HILIC",NA,NA,266513.333333333,NA,NA,28691,NA,NA,5
28806,0,0,"","C2",1296602.33333333,NA,NA,28806,NA,NA,16,NA,NA
28879,0,0,"","CE",NA,68807.7333333333,NA,NA,28879,NA,NA,19,NA
28912,0,0,"","C2",1549592.66666667,NA,NA,28912,NA,NA,13,NA,NA
28971,0,0,"","C2",1440134.33333333,NA,NA,28971,NA,NA,6,NA,NA
29027,0,0,"","C2",1306736,NA,NA,29027,NA,NA,18,NA,NA
