"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"1",656,1915.778,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N4F2","H5N2","no glycan",30529.52,2.44952142436971e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N4F2 _ H5N2 _ no glycan"
"2",947.323,1915.778,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N4F2","H5N2","no glycan",30820.843,4.81934229658673e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2 _ H5N2 _ no glycan"
"3",1021.74,1915.778,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N4F2","H5N2","no glycan",30895.26,2.73770033429507e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N4F2 _ H5N2 _ no glycan"
"4",1063.363,1915.778,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N4F2","H5N2","no glycan",30936.883,3.14436937954792e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N4F2 _ H5N2 _ no glycan"
"5",1143.333,1915.778,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N4F2","H5N2","no glycan",31016.853,4.33273376360064e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F2 _ H5N2 _ no glycan"
"6",1167.423,1915.778,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N4F2","H5N2","no glycan",31040.943,6.80030677136676e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F2 _ H5N2 _ no glycan"
"7",1209.433,1915.778,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N4F2","H5N2","no glycan",31082.953,7.83937716112685e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N4F2 _ H5N2 _ no glycan"
"8",1312.453,1915.778,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N4F2","H5N2","no glycan",31185.973,9.84721806466882e-06,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F2 _ H5N2 _ no glycan"
"9",656,1956.8306,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N6F2","H5N2","no glycan",30570.5726,5.33114577478881e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H4N6F2 _ H5N2 _ no glycan"
"10",947.323,1956.8306,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N6F2","H5N2","no glycan",30861.8956,0.000104888310288286,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H5N2 _ no glycan"
"11",1021.74,1956.8306,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H4N6F2","H5N2","no glycan",30936.3126,5.95833921867843e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H4N6F2 _ H5N2 _ no glycan"
"12",1063.363,1956.8306,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H4N6F2","H5N2","no glycan",30977.9356,6.8434149484794e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N6F2 _ H5N2 _ no glycan"
"13",1143.333,1956.8306,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H4N6F2","H5N2","no glycan",31057.9056,9.42977475816438e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N6F2 _ H5N2 _ no glycan"
"14",1167.423,1956.8306,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H4N6F2","H5N2","no glycan",31081.9956,1.48002080531988e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N6F2 _ H5N2 _ no glycan"
"15",1209.433,1956.8306,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H4N6F2","H5N2","no glycan",31124.0056,1.70616439659315e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N6F2 _ H5N2 _ no glycan"
