"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
26902,0,0,"","C2",492227.5,NA,NA,26902,NA,NA,6,NA,NA
26961,0,0,"","C2",53403.35,NA,NA,26961,NA,NA,2,NA,NA
27034,0,0,"","C2",211286.3,NA,NA,27034,NA,NA,5,NA,NA
27086,0,0,"","C2",447945.5,NA,NA,27086,NA,NA,5,NA,NA
27131,0,0,"","C2",13283.35,NA,NA,27131,NA,NA,1,NA,NA
27147,0,0,"","C2",233930.1,NA,NA,27147,NA,NA,5,NA,NA
27154,0,0,"","C2",67265,NA,NA,27154,NA,NA,3,NA,NA
27274,0,0,"","C2",448098.333333333,NA,NA,27274,NA,NA,6,NA,NA
27293,0,0,"","C2",249630.47,NA,NA,27293,NA,NA,1,NA,NA
27443,0,0,"","C2",322802.05,NA,NA,27443,NA,NA,1,NA,NA
27478,0,0,"","C2",241028.49,NA,NA,27478,NA,NA,1,NA,NA
27515,0,0,"","C2",27471.5,NA,NA,27515,NA,NA,2,NA,NA
27527,0,0,"","C2",278617,NA,NA,27527,NA,NA,4,NA,NA
27546,0,0,"","C2",184110.05,NA,NA,27546,NA,NA,2,NA,NA
27610,0,0,"","C2",591348,NA,NA,27610,NA,NA,8,NA,NA
27648,0,0,"","C2",707978,NA,NA,27648,NA,NA,14,NA,NA
27685,0,0,"","C2",537838.453333333,NA,NA,27685,NA,NA,1,NA,NA
27709,0,0,"","C2",7753.705,NA,NA,27709,NA,NA,1,NA,NA
27754,0,0,"","C2",203520.58,NA,NA,27754,NA,NA,1,NA,NA
27777,0,0,"","C2",457626,NA,NA,27777,NA,NA,8,NA,NA
27791,0,0,"","C2",595109,NA,NA,27791,NA,NA,6,NA,NA
27816,0,0,"","C2",338597.885,NA,NA,27816,NA,NA,1,NA,NA
27830,0,0,"","C2",741824.5,NA,NA,27830,NA,NA,8,NA,NA
28111,0,0,"","CE",NA,122183.6,NA,NA,28111,NA,NA,17,NA
28228,0,0,"","CE",NA,104900.666666667,NA,NA,28228,NA,NA,1,NA
28234,0,0,"","CE",NA,116121.45,NA,NA,28234,NA,NA,15,NA
28304,0,0,"","CE",NA,73726.65,NA,NA,28304,NA,NA,1,NA
28336,0,0,"","CE",NA,96611.9,NA,NA,28336,NA,NA,16,NA
28490,0,0,"","CE",NA,127900.55,NA,NA,28490,NA,NA,16,NA
28750,0,0,"","HILIC",NA,NA,233671,NA,NA,28750,NA,NA,5
28808,0,0,"","HILIC",NA,NA,152947,NA,NA,28808,NA,NA,9
28866,0,0,"","CE",NA,33341.8,NA,NA,28866,NA,NA,3,NA
28902,0,0,"","HILIC",NA,NA,49913.75,NA,NA,28902,NA,NA,2
29032,0,0,"","CE",NA,53924.65,NA,NA,29032,NA,NA,2,NA
29113,0,0,"","CE",NA,91725.95,NA,NA,29113,NA,NA,1,NA
29143,0,0,"","HILIC",NA,NA,106535.55,NA,NA,29143,NA,NA,2
29276,29278,0.000101547329118033,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N3F1 _ extra modification","HILIC",NA,NA,113452,NA,NA,29276,NA,NA,3
29290,29288,1.11140649519151e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H4N3F1 _ no glycan","HILIC",NA,NA,488073.666666667,NA,NA,29290,NA,NA,1
29336,29336,2.23748016642017e-05,"Hex(1)HexNAc(1)NeuAc(1) _ no glycan _ H4N4F2 _ extra modification","HILIC",NA,NA,573602.666666667,NA,NA,29336,NA,NA,1
29341,0,0,"","CE",NA,46933.05,NA,NA,29341,NA,NA,3,NA
29356,29354,2.33703872404245e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ no glycan _ H4N3F2 _ no glycan","HILIC",NA,NA,122650,NA,NA,29356,NA,NA,2
29401,29400,0.000444196441014102,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N3F2 _ no glycan","HILIC",NA,NA,107812.35,NA,NA,29401,NA,NA,2
29404,0,0,"","HILIC",NA,NA,127072.5,NA,NA,29404,NA,NA,5
29408,29410,2.33864710546248e-05,"Hex(1)HexNAc(1)NeuAc(1) _ no glycan _ H4N6F1 _ no glycan","HILIC",NA,NA,111923.65,NA,NA,29408,NA,NA,1
29440,29441,0.000535915009680725,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N4F2 _ no glycan","HILIC",NA,NA,1445843.33333333,NA,NA,29440,NA,NA,2
29476,29475,3.10454794418776e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H3N4F2 _ no glycan","HILIC",NA,NA,616353.666666667,NA,NA,29476,NA,NA,1
29491,29490,5.28719153420595e-06,"Hex(2)HexNAc(2)NeuAc(1) _ no glycan _ H6N3F1 _ no glycan","HILIC",NA,NA,149898.5,NA,NA,29491,NA,NA,3
29498,29498,0.000766685698653917,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F1 _ no glycan","HILIC",NA,NA,585270.333333333,NA,NA,29498,NA,NA,1
29508,0,0,"","CE",NA,131337.4,NA,NA,29508,NA,NA,2,NA
29520,0,0,"","HILIC",NA,NA,970845.666666667,NA,NA,29520,NA,NA,1
29555,29557,3.49656580250312e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ no glycan _ H4N4F2 _ no glycan","HILIC",NA,NA,250992.666666667,NA,NA,29555,NA,NA,2
29560,0,0,"","HILIC",NA,NA,170886,NA,NA,29560,NA,NA,3
29587,29586,0.00036487564797587,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N3F2 _ extra modification","CE",NA,185883.5,NA,NA,29587,NA,NA,6,NA
29602,29603,0.000956008324385352,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N4F2 _ no glycan","CE & HILIC",NA,169454.15,543610.333333333,NA,29603,29602,NA,4,2
29606,0,0,"","HILIC",NA,NA,263331.333333333,NA,NA,29606,NA,NA,3
29625,29627,0.000440215900809167,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N4F2 _ extra modification","CE & HILIC",NA,237293.666666667,1385440,NA,29624,29626,NA,7,2
29643,29644,0.00158370868152985,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F2 _ no glycan","HILIC",NA,NA,1036790,NA,NA,29643,NA,NA,2
29654,29653,2.69536080574023e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H5N4F1 _ no glycan","HILIC",NA,NA,352285.333333333,NA,NA,29654,NA,NA,3
29661,29660,0.000756627808926817,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N5F1 _ no glycan","CE",NA,150169.55,NA,NA,29661,NA,NA,4,NA
29679,29678,5.43074998244535e-05,"Hex(2)HexNAc(2)NeuAc(1) _ no glycan _ H5N4F2 _ no glycan","CE",NA,161087.5,NA,NA,29679,NA,NA,11,NA
29684,29685,0.00093670555091866,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H3N6F2 _ no glycan","CE & HILIC",NA,222164,1178846.66666667,NA,29683,29685,NA,4,2
29698,0,0,"","HILIC",NA,NA,293833.333333333,NA,NA,29698,NA,NA,3
29721,29719,8.99649686622391e-05,"Hex(2)HexNAc(2)NeuAc(1) _ no glycan _ H4N5F2 _ no glycan","CE",NA,149998.15,NA,NA,29721,NA,NA,3,NA
29725,29726,0.0001043519,"Hex(1)HexNAc(1)NeuAc(1) _ no glycan _ H3N6F3 _ extra modification","CE",NA,228839,NA,NA,29725,NA,NA,3,NA
29744,29743,2.87217905205613e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ no glycan _ H4N4F2 _ extra modification","HILIC",NA,NA,318901.266666667,NA,NA,29744,NA,NA,2
29748,29748,0.00192711784995597,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N4F1S1 _ no glycan","CE & HILIC",NA,205438.5,2739476.66666667,NA,29748,29749,NA,4,3
29764,29765,9.0761331091041e-05,"Hex(2)HexNAc(2)NeuAc(2) _ no glycan _ H5N3F2 _ no glycan","HILIC",NA,NA,1228013.33333333,NA,NA,29764,NA,NA,2
29773,0,0,"","C2",169650.4,NA,NA,29773,NA,NA,6,NA,NA
29782,29782,3.28034188528252e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H5N3F2 _ extra modification","CE",NA,282064,NA,NA,29782,NA,NA,7,NA
29790,29790,0.00207065509375357,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F3 _ no glycan","CE & HILIC",NA,404760.5,5609040,NA,29790,29790,NA,4,3
29796,29798,6.8733893020922e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H6N3F1 _ extra modification","HILIC",NA,NA,209815,NA,NA,29796,NA,NA,1
29801,29799,8.59480254864096e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H5N4F2 _ no glycan","C2 & HILIC",101267.16,NA,131223.5,29801,NA,29801,5,NA,1
