,Sample name,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
34983,,,61233,,,,,,,,,,,,,,,,296914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175163,,,,,,,,,,,,,,,,,,,
34930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177676,,,,,,,,,,,,,,,,,,,
34915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200440,,211598,,,,,,,,,,,,,,,,,,307307
34845,,,,,,,,,,,,,,,,,,,274196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34826,,,,,,180706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275001
34804,,,,,,,,,,,,,,,,,,,354688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174212,,,,,,,,,,,,,,,,,,,
34770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297201,247674,,,,,,,,,,,,,,,,,,
34769,,,,,,,,,,,,,,,,,,469421,498695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404209
34766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380341,
34730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269516,,,,,,,,,,,,,,,,,,,
34729,,,,,,,,,,,,,,,,,232045,318549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275539,275707
34728,,,,,,,,,,,,,,,,,,,408826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185941,,,,,,,,,,,,,,,,280575,,
34725,,,,,,,,,,,,,,,,237056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197344,,,
34700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227369
34697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178326,
34696,,,,,,,,,,,,,,,,,,337160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34693,,,,,,,,,,,,,,,,185873,,,,,,,,,,,,,,,,,,,,,239647,,,,,,,,,,,,,,,,,,
34673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34264.2,,,,,,,,,,,,,,,,,
34669,,,,,,,,,,,,,,,,,,307118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34663,,,,,,,,,,,,,,,,,,,415595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
